mcc,mcc_range_start,mcc_range_end,mcc_range_description,mcc_range_reserved_flag,iso_description,usda_description,stripe_description,stripe_code,visa_req_clearing_name,alipay_description,mastercard_description,mastercard_abbreviated_airline_name,amex_description,visa_mcc,visa_mcc_title,visa_mcc_description,visa_included_in_mcc,human_assigned_coicop_label
0742,0700,0999,Agricultural services,False,Veterinary services,Veterinary Services,Veterinary Services,veterinary_services,,Veterinary services,Veterinary Services,,Veterinary Services,0742,Veterinary Services,"Merchants classified with this MCC are licensed practitioners of veterinary medicine, dentistry, or surgery. This MCC includes medical practitioners of pets (e.g., dogs, cats), livestock (e.g., cattle, horses, sheep, hogs, goats, poultry), and large or exotic animals.","Animal Doctors, Hospitals Clinics – Pet Hospitals – Pet Pet Clinics Services – Veterinary",CULTURAL AND RECREATIONAL SERVICES
0743,0700,0999,Agricultural services,False,Wine producers,,,,,Wine producers,,,Wine Producers,,,,,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS"
0744,0700,0999,Agricultural services,False,Champagne producers,,,,,Champagne producers,,,Champagne Producers,,,,,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS"
0763,0700,0999,Agricultural services,False,Agricultural co-operatives,Agricultural Co-operatives,Agricultural Cooperative,agricultural_cooperative,,,Agricultural Cooperatives,,Agricultural Cooperatives,0763,Agricultural Co-operatives,"Merchants classified with this MCC provide farm management services or engage in farming operations. Also included in this MCC are associations and cooperatives that provide assistance and services to farmers in farm management. These services include, but are not limited to financial assistance, management or complete maintenance of crops, soil preparation, planting and cultivating, aerial dusting and spraying, disease and insect control, weed control, and harvesting crops.",Farm Management Services Orchards Vineyards,GARDEN PRODUCTS AND PETS
0780,0700,0999,Agricultural services,False,Landscaping and horticultural services,Horticultural Services,Landscaping Services,landscaping_services,,Landscaping and horticultural services,Horticultural and Landscaping Services,,Landscaping and Horticultural Services,0780,Landscaping and Horticultural Services,"Merchants classified with this MCC provide landscape planning and design services. This MCC also includes Merchants that offer a variety of lawn and garden services (e.g., planting, fertilizing, mowing, mulching, seeding, spraying, sod laying).",Gardening Services Horticulture Services Services – Gardening Services – Horticulture Services – Landscaping,"SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING"
1520,1500,2999,Contracted services,False,General contractors -- residential and commercial,General Contractors-Residential and Commercial,General Services,general_services,,,"General Contractors, residential and commercial",,General Contractors - Residential and Commercial,1520,General Contractors – Residential and Commercial,"Merchants classified with this MCC are general contractors primarily engaged in construction of residential and/or commercial buildings. This MCC includes contractors that perform new construction as well as remodeling, repair, additions, or alterations.","Building Contractors – Residential, Commercial Construction Companies Contractors – General Contractors – Residential, Commercial","SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING"
1711,1500,2999,Contracted services,False,"Heating, plumbing and air-conditioning contractors",Air Conditioning Contractors - Sales and Installation,"Heating, Plumbing, A/C",heating_plumbing_a_c,,"Heating, plumbing and air-conditioning contractors","Air Conditioning, Heating, and Plumbing Contractors",,"Heating, Plumbing, and Air Conditioning Contractors",1711,"Heating, Plumbing, and Air Conditioning Contractors","Merchants classified with this MCC are contractors that provide heating, plumbing and air conditioning services. This MCC includes contractors that perform air system balancing and testing, drainage system installation, furnace repair, irrigation system installation, refrigeration and freezer work, sewer hookups and connections, solar heating, sprinkler system installation and water pump installation and servicing.","Air Conditioning Contractors Contractors – Air Conditioning Contractors – Heating
Contractors – Plumbing Heating Contractors Plumbing Contractors","SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING"
1731,1500,2999,Contracted services,False,Electrical contractors,Electrical Contractors,Electrical Services,electrical_services,,Electrical contractors,Electrical Contractors,,Electrical Contractors,1731,Electrical Contractors,"Merchants classified with this MCC are contractors that provide electrical work such as fire alarm installation, sound equipment installation, telecommunications equipment installation, cable/internet installation, and telephone and telephone equipment installation.",Contractors – Electrical,"SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING"
1740,1500,2999,Contracted services,False,"Masonry, stonework, tile setting, plastering and insulation contractors",Insulation - Contractors,"Masonry, Stonework, and Plaster",masonry_stonework_and_plaster,,"Masonry, stonework, tile setting, plastering and insulation contractors","Insulation, Masonry, Plastering, Stonework, and Tile Setting Contractors",,"Masonry, Stonework, Tile-Setting, Plastering, and Insulation Contractors",1740,"Masonry, Stonework, Tile Setting, Plastering and Insulation Contractors","Merchants classified with this MCC are contractors that perform masonry work, stone setting and other stone work, tile setting, plain and ornamental plastering, and insulation. This MCC also includes contractors that perform bricklaying, ceramic and marble work, mosaic work, acoustical improvements, and drywall construction.",Contractors – Insulation Contractors – Masonry Contractors – Plastering Contractors – Stonework Contractors – Tile Setting Insulation Contractors Plastering Contractors Stonework Contractors Tile Setting Contractors,"SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING"
1750,1500,2999,Contracted services,False,Carpentry contractors,Carpentry Contractors,Carpentry Services,carpentry_services,,Carpentry contractors,Carpentry Contractors,,Carpentry Contractors,1750,Carpentry Contractors,"Merchants classified with this MCC are contractors that perform carpentry work. This MCC includes contractors that do cabinet work at the construction site, framing, trim and finish work and window and door installation.",Contractors – Carpentry,"SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING"
